Read,Owned,Published,Title,Type,Available In,Hardcover,Paperback,Ebook,Audiobook,Movie,Miniseries
,,1981-12-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/running-man.html"", ""The Running Man"")",Bachman Novel,"=HYPERLINK(""https://www.stephenking.com/works/movie/running-man.html"", ""The Running Man(Movie)"")",,✓,,✓,✓,
,,1981-12-01,"=HYPERLINK(""https://www.stephenking.com/works/unpublished/cannibals.html"", ""The Cannibals"")",Unpublished,,,,,,✓,
,,1982-08-01,"=HYPERLINK(""https://www.stephenking.com/works/collection/different-seasons.html"", ""Different Seasons"")",Story Collection,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/shawshank-redemption.html"", ""The Shawshank Redemption(Audiobook)"")",✓,✓,,✓,✓,
,,1982-08-27,"=HYPERLINK(""https://www.stephenking.com/works/novella/apt-pupil.html"", ""Apt Pupil"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/movie/apt-pupil.html"", ""Apt Pupil(Movie)"")",,✓,,✓,✓,
,,1982-08-27,"=HYPERLINK(""https://www.stephenking.com/works/novella/body.html"", ""The Body"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/movie/stand-by-me.html"", ""Stand By Me(Movie)"")",,,,✓,✓,
,,1982-08-27,"=HYPERLINK(""https://www.stephenking.com/works/novella/breathing-method.html"", ""The Breathing Method"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/audiobook/breathing-method.html"", ""The Breathing Method(Audiobook)"")",,,,✓,,
,,1982-08-27,"=HYPERLINK(""https://www.stephenking.com/works/novella/rita-hayworth-and-shawshank-redemption.html"", ""Rita Hayworth and Shawshank Redemption"")",Novella,"=HYPERLINK(""https://www.stephenking.com/works/movie/shawshank-redemption.html"", ""The Shawshank Redemption(Movie)"")",,✓,,✓,✓,
,,1982-11-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/plant-installment-one.html"", ""The Plant Installment One"")",Limited Edition,,,✓,✓,,,
,,1982-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/christine.html"", ""Christine"")",Limited Edition,,✓,✓,,✓,✓,
,,1982-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/cycle-of-the-werewolf.html"", ""Cycle of the Werewolf"")",Limited Edition,,✓,✓,,,✓,
,,1982-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/plant-installment-two.html"", ""The Plant Installment Two"")",Limited Edition,,✓,,,,,
,,1983-01-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/book-of-lists-3.html"", ""The Book of Lists 3"")",Anthology,,✓,,,,,
,,1983-04-22,"=HYPERLINK(""https://www.stephenking.com/works/speech/an-evening-at-the-billerica-(massachusetts)-library.html"", ""An Evening at the Billerica Massachusetts Library"")",Speech,,,,,,,
,,1983-09-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/evil-image-two-centuries-of-gothic-short-fiction-and-poetry.html"", ""The Evil Image Two Centuries of Gothic Short Fiction and Poetry"")",Anthology,,,✓,,,,
,,1983-10-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/an-international-treasury-of-mystery-and-suspense.html"", ""An International Treasury of Mystery and Suspense"")",Anthology,,✓,,,,,
,,1983-11-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/cults-an-anthology-of-secret-societies-sects-and-the-supernatural.html"", ""Cults An Anthology of Secret Societies, Sects and the Supernatural"")",Anthology,,,,,,,
,,1983-11-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/pet-sematary.html"", ""Pet Sematary"")",Novel,"=HYPERLINK(""https://www.stephenking.com/works/movie/pet-sematary-(1989).html"", ""Pet Sematary (1989)(Movie)"")",✓,✓,,✓,✓,
,,1983-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/blackboard-jungle.html"", ""The Blackboard Jungle"")",Anthology,,,,,,,
,,1983-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/magicats.html"", ""Magicats"")",Anthology,,,✓,,,,
,,1983-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/eyes-of-the-dragon.html"", ""The Eyes of the Dragon"")",Limited Edition,,✓,✓,,✓,,
,,1983-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/talisman.html"", ""The Talisman"")",Limited Edition,,✓,✓,✓,✓,✓,
,,1984-06-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/fear-itself.html"", ""Fear Itself"")",Anthology,,,✓,,,,
,,1984-06-01,"=HYPERLINK(""https://www.stephenking.com/works/essay/on-becoming-a-brand-name.html"", ""On Becoming a Brand Name"")",Essay,,,,,,,
,,1984-11-01,"=HYPERLINK(""https://www.stephenking.com/works/novel/thinner.html"", ""Thinner"")",Bachman Novel,"=HYPERLINK(""https://www.stephenking.com/works/movie/thinner.html"", ""Thinner(Movie)"")",✓,✓,,✓,✓,
,,1984-12-01,"=HYPERLINK(""https://www.stephenking.com/works/anthology/isaac-asimovs-magical-world-of-fantasy-4.html"", ""Isaac Asimov's Magical World of Fantasy 4"")",Anthology,,,✓,,,,
,,1984-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/plant-installment-three.html"", ""The Plant Installment Three"")",Limited Edition,,,✓,,,,
,,1984-12-01,"=HYPERLINK(""https://www.stephenking.com/works/limited/skeleton-crew.html"", ""Skeleton Crew"")",Limited Edition,,✓,✓,,✓,✓,
,,1984-12-01,"=HYPERLINK(""https://www.stephenking.com/works/unpublished/cats-eye.html"", ""Cat's Eye"")",Unpublished,"=HYPERLINK(""https://www.stephenking.com/works/movie/cats-eye.html"", ""Cat's Eye(Movie)"")",,,,,✓,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/poem/for-owen.html"", ""For Owen"")",Poem,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/poem/paranoid-a-chant.html"", ""Paranoid A Chant"")",Poem,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/ballad-of-the-flexible-bullet.html"", ""The Ballad of the Flexible Bullet"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/beachworld.html"", ""Beachworld"")",Short Story,,,,,,,
,,1985-06-01,"=HYPERLINK(""https://www.stephenking.com/works/short/big-wheels-a-tale-of-the-laundry-game-(milkman-2).html"", ""Big Wheels A Tale of the Laundry Game Milkman 2"")",Short Story,,,,,,,
