Title,Published,Type,Available In,Hardcover,Paperback,Ebook,Audiobook,Movie,Miniseries
"=HYPERLINK(""https://www.stephenking.com/works/novel/geralds-game.html"", ""Gerald's Game"")",1992-05-01,Novel,,Yes,Yes,,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/midnight-graffiti.html"", ""Midnight Graffiti"")",1992-10-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",1993-10-01,Story Collection,,Yes,Yes,,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/head-down.html"", ""Head Down"")",1993-10-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/poem/brooklyn-august.html"", ""Brooklyn August"")",1993-10-01,Poem,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/screenplay/sorry-right-number.html"", ""Sorry, Right Number"")",1993-10-01,Screenplay,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/chattery-teeth.html"", ""Chattery Teeth"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/crouch-end.html"", ""Crouch End"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/dedication.html"", ""Dedication"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/doctors-case.html"", ""The Doctor's Case"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/end-of-the-whole-mess.html"", ""The End of the Whole Mess"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/fifth-quarter.html"", ""The Fifth Quarter"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/home-delivery.html"", ""Home Delivery"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/house-on-maple-street.html"", ""The House on Maple Street"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/it-grows-on-you.html"", ""It Grows on You"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/moving-finger.html"", ""The Moving Finger"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/night-flier.html"", ""The Night Flier"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/popsy.html"", ""Popsy"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/rainy-season.html"", ""Rainy Season"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/sneakers.html"", ""Sneakers"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/suffer-the-little-children.html"", ""Suffer the Little Children"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/ten-o-clock-people.html"", ""The Ten O'Clock People"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/umneys-last-case.html"", ""Umney's Last Case"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/you-know-they-got-a-hell-of-a-band.html"", ""You Know They Got a Hell of a Band"")",1993-10-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/nightmares-dreamscapes.html"", ""Nightmares & Dreamscapes"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/dolores-claiborne.html"", ""Dolores Claiborne"")",1993-11-01,Novel,,Yes,Yes,,Yes,Yes,
"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/mid-life-confidential-the-rock-bottom-remainders-tour-america-with-three-chords-and-an-attitude.html"", ""Mid-Life Confidential: The Rock Bottom Remainders Tour America With Three Chords and an Attitude"")",1993-12-01,Nonfiction,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/insomnia.html"", ""Insomnia"")",1994-06-01,Limited Edition,,Yes,Yes,,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/antaeus-no-75-76-the-final-issue.html"", ""Antaeus No. 75/76 The Final Issue"")",1994-10-01,Anthology,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/years-best-fantasy-horror.html"", ""Year's Best Fantasy & Horror"")",1994-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/rose-madder.html"", ""Rose Madder"")",1994-12-01,Limited Edition,,Yes,Yes,,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/desperation-the-regulators-(box-set).html"", ""Desperation/The Regulators"")",1995-12-01,Limited Edition,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/desperation.html"", ""Desperation"")",1995-12-01,Limited Edition,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/regulators.html"", ""The Regulators"")",1995-12-01,Bachman Novel,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-the-two-dead-girls.html"", ""The Green Mile: The Two Dead Girls"")",1996-03-01,Novel,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-the-mouse-on-the-mile.html"", ""The Green Mile: The Mouse on the Mile"")",1996-04-01,Novel,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-coffeys-hands.html"", ""The Green Mile: Coffey's Hands"")",1996-05-01,Novel,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-the-bad-death-of-eduard-delacroix.html"", ""The Green Mile: The Bad Death of Eduard Delacroix"")",1996-06-01,Novel,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-night-journey.html"", ""The Green Mile: Night Journey"")",1996-07-01,Novel,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/dark-love.html"", ""Dark Love"")",1996-08-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-coffey-on-the-mile.html"", ""The Green Mile: Coffey on the Mile"")",1996-08-01,Novel,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/dark-thoughts-on-writing.html"", ""Dark Thoughts on Writing"")",1996-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-wizard-and-glass-(i).html"", ""The Dark Tower: Wizard and Glass"")",1996-12-01,Limited Edition,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/six-stories.html"", ""Six Stories"")",1996-12-01,Limited Edition,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/legends.html"", ""Legends"")",1997-12-01,Anthology,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/unpublished/chinga.html"", ""Chinga"")",1997-12-01,Unpublished,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/interview/authorsaol-series.html"", ""Authors@aol series"")",1998-09-01,Interview,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/bag-of-bones.html"", ""Bag of Bones"")",1998-09-22,Novel,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/screenplay/storm-of-the-century.html"", ""Storm of the Century"")",1999-02-01,Screenplay,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/speech/an-evening-with-stephen-king.html"", ""An Evening with Stephen King"")",1999-03-30,Speech,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/new-lieutenants-rap.html"", ""The New Lieutenant's Rap"")",1999-04-01,Limited Edition,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/girl-who-loved-tom-gordon.html"", ""The Girl Who Loved Tom Gordon"")",1999-04-01,Novel,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/speech/vermont-library-conference-vema-annual-meeting-the-bogeyboys.html"", ""Vermont Library Conference/VEMA Annual Meeting: The Bogeyboys"")",1999-05-26,Speech,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/collection/hearts-in-atlantis.html"", ""Hearts in Atlantis"")",1999-09-01,Story Collection,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/blind-willie.html"", ""Blind Willie"")",1999-09-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/hearts-in-atlantis.html"", ""Hearts in Atlantis"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/heavenly-shades-of-night-are-falling.html"", ""Heavenly Shades of Night Are Falling"")",1999-09-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/hearts-in-atlantis.html"", ""Hearts in Atlantis"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/low-men-in-yellow-coats.html"", ""Low Men in Yellow Coats"")",1999-09-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/hearts-in-atlantis.html"", ""Hearts in Atlantis"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/why-we-re-in-vietnam.html"", ""Why We're in Vietnam"")",1999-09-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/hearts-in-atlantis.html"", ""Hearts in Atlantis"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/shadows-4.html"", ""Shadows 4"")",1999-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/a-new-introduction-to-john-fowless-the-collector.html"", ""A New Introduction to John Fowles's The Collector"")",1999-12-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/ever-et-raw-meat-and-other-weird-questions.html"", ""Ever Et Raw Meat? and Other Weird Questions"")",1999-12-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/foreword-to-night-shift.html"", ""Foreword to Night Shift"")",1999-12-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/great-hookers-i-have-known.html"", ""Great Hookers I Have Known"")",1999-12-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/horror-fiction-from-danse-macabre.html"", ""Horror Fiction: from Danse Macabre"")",1999-12-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/horror-market-writer-and-the-ten-bears-a-true-story.html"", ""The Horror Market Writer and the Ten Bears: A True Story"")",1999-12-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/how-it-happened.html"", ""How IT Happened"")",1999-12-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/introduction-to-jack-ketchums-the-girl-next-door.html"", ""Introduction to Jack Ketchum's The Girl Next Door"")",1999-12-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/turning-the-thumbscrews-on-the-reader.html"", ""Turning the Thumbscrews on the Reader"")",1999-12-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/two-past-midnight-a-note-on-secret-window-secret-garden.html"", ""Two Past Midnight: A Note on Secret Window, Secret Garden"")",1999-12-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/what-stephen-king-does-for-love.html"", ""What Stephen King Does for Love"")",1999-12-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/interview/a-night-at-the-royal-festival-hall-muriel-gray-interviews-stephen-king.html"", ""A Night at the Royal Festival Hall: Muriel Gray Interviews Stephen King"")",1999-12-01,Interview,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/on-writing-a-memoir-of-the-craft.html"", ""On Writing: A Memoir of the Craft"")",1999-12-01,Nonfiction,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",1999-12-01,Nonfiction,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/rush-call.html"", ""Rush Call"")",1999-12-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/green-mile-the-complete-serial-novel.html"", ""The Green Mile: The Complete Serial Novel"")",2000-10-01,Novel,,Yes,Yes,,Yes,Yes,
"=HYPERLINK(""https://www.stephenking.com/works/novel/dreamcatcher.html"", ""Dreamcatcher"")",2001-02-20,Novel,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/black-house.html"", ""Black House"")",2001-09-15,Novel,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/interview/stephen-king-qa.html"", ""Stephen King Q&A"")",2001-12-01,Interview,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/from-a-buick-8.html"", ""From a Buick 8"")",2001-12-01,Limited Edition,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/1408.html"", ""1408"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/all-that-you-love-will-be-carried-away.html"", ""All That You Love Will Be Carried Away"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/autopsy-room-four.html"", ""Autopsy Room Four"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/death-of-jack-hamilton.html"", ""The Death of Jack Hamilton"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/everythings-eventual.html"", ""Everything's Eventual"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",Yes,Yes,Yes,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/in-the-deathroom.html"", ""In the Deathroom"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/little-sisters-of-eluria.html"", ""The Little Sisters of Eluria"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/lts-theory-of-pets.html"", ""L.T.'s Theory of Pets"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/luckey-quarter.html"", ""Luckey Quarter"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/lunch-at-the-gotham-cafe.html"", ""Lunch at the Gotham Cafe"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/man-in-the-black-suit.html"", ""The Man in the Black Suit"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/riding-the-bullet.html"", ""Riding the Bullet"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/road-virus-heads-north.html"", ""The Road Virus Heads North"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/that-feeling-you-can-only-say-what-it-is-in-french.html"", ""That Feeling, You Can Only Say What It Is in French"")",2002-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/everythings-eventual.html"", ""Everything's Eventual"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/from-a-buick-8.html"", ""From A Buick 8"")",2002-09-24,Novel,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/borderlands-5.html"", ""Borderlands 5"")",2002-12-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/from-the-borderlands.html"", ""From the Borderlands"")",2002-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-wolves-of-the-calla.html"", ""The Dark Tower: Wolves of the Calla"")",2002-12-01,Limited Edition,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/mcsweeneys-mammoth-treasury-of-thrilling-tales.html"", ""McSweeney's Mammoth Treasury of Thrilling Tales"")",2003-03-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/tale-of-gray-dick.html"", ""The Tale of Gray Dick"")",2003-03-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/anthology/mcsweeneys-mammoth-treasury-of-thrilling-tales.html"", ""McSweeney's Mammoth Treasury of Thrilling Tales"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/interview/a-conversation-with-stephen-king.html"", ""A Conversation with Stephen King"")",2003-12-01,Interview,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower-song-of-susannah.html"", ""The Dark Tower: Song of Susannah"")",2003-12-01,Limited Edition,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/dark-tower.html"", ""The Dark Tower"")",2003-12-01,Limited Edition,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/devils-wine.html"", ""The Devil's Wine"")",2004-04-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/poem/dark-man.html"", ""The Dark Man"")",2004-04-01,Poem,"=HYPERLINK(""https://www.stephenking.com/works/anthology/devils-wine.html"", ""The Devil's Wine"")",Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/poem/donovans-brain.html"", ""Donovan's Brain"")",2004-04-01,Poem,"=HYPERLINK(""https://www.stephenking.com/works/anthology/devils-wine.html"", ""The Devil's Wine"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/poem/hardcase-speaks.html"", ""The Hardcase Speaks"")",2004-04-01,Poem,"=HYPERLINK(""https://www.stephenking.com/works/anthology/devils-wine.html"", ""The Devil's Wine"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/poem/harrison-state-park-68.html"", ""Harrison State Park '68"")",2004-04-01,Poem,"=HYPERLINK(""https://www.stephenking.com/works/anthology/devils-wine.html"", ""The Devil's Wine"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/poem/in-the-key-chords-of-dawn.html"", ""In the Key-Chords of Dawn"")",2004-04-01,Poem,"=HYPERLINK(""https://www.stephenking.com/works/anthology/devils-wine.html"", ""The Devil's Wine"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/poem/silence.html"", ""Silence"")",2004-04-01,Poem,"=HYPERLINK(""https://www.stephenking.com/works/anthology/devils-wine.html"", ""The Devil's Wine"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/contemporary-maine-fiction.html"", ""Contemporary Maine Fiction"")",2004-12-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/garden-of-reading.html"", ""The Garden of Reading"")",2004-12-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/thrilling-chilling-tales-of-alien-encounters.html"", ""Thrilling, Chilling Tales of Alien Encounters"")",2004-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/transgressions.html"", ""Transgressions"")",2004-12-01,Anthology,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/faithful.html"", ""Faithful"")",2005-09-01,Nonfiction,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/interview/king-pen.html"", ""King Pen"")",2005-10-01,Interview,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/colorado-kid.html"", ""The Colorado Kid"")",2005-10-01,Novel,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/salems-lot-illustrated-edition.html"", ""'Salem's Lot Illustrated Edition"")",2005-11-11,Novel,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/interview/art-of-fiction-no-189.html"", ""The Art of Fiction No. 189"")",2005-12-01,Interview,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/secretary-of-dreams-vol-1.html"", ""The Secretary of Dreams, Vol. 1"")",2005-12-01,Limited Edition,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/cell.html"", ""Cell"")",2006-01-24,Novel,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/liseys-story.html"", ""Lisey's Story"")",2006-10-01,Novel,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/green-mile.html"", ""The Green Mile"")",2006-12-01,Limited Edition,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/blaze.html"", ""Blaze"")",2006-12-01,Bachman Novel,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/duma-key.html"", ""Duma Key"")",2008-01-22,Novel,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/collection/just-after-sunset.html"", ""Just After Sunset"")",2008-11-01,Story Collection,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/a-very-tight-place.html"", ""A Very Tight Place"")",2008-11-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/just-after-sunset.html"", ""Just After Sunset"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/n.html"", ""N"")",2008-11-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/just-after-sunset.html"", ""Just After Sunset"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/short/ayana.html"", ""Ayana"")",2008-11-01,Short Story,"=HYPERLINK(""https://www.stephenking.com/works/collection/just-after-sunset.html"", ""Just After Sunset"")",,,,,,
