Title,Published,Type,Available In,Hardcover,Paperback,Ebook,Audiobook,Movie,Miniseries
"=HYPERLINK(""https://www.stephenking.com/works/limited/plant-installment-one.html"", ""The Plant [Installment One]"")",1982-11-01,Limited Edition,,,Yes,Yes,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/christine.html"", ""Christine"")",1982-12-01,Limited Edition,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/cycle-of-the-werewolf.html"", ""Cycle of the Werewolf"")",1982-12-01,Limited Edition,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/plant-installment-two.html"", ""The Plant [Installment Two]"")",1982-12-01,Limited Edition,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/book-of-lists-3.html"", ""The Book of Lists #3"")",1983-01-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/speech/an-evening-at-the-billerica-(massachusetts)-library.html"", ""An Evening at the Billerica (Massachusetts) Library"")",1983-04-22,Speech,"=HYPERLINK(""https://www.stephenking.com/works/nonfiction/secret-windows-essays-and-fiction-on-the-craft-of-writing.html"", ""Secret Windows: Essays and Fiction on the Craft of Writing"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/evil-image-two-centuries-of-gothic-short-fiction-and-poetry.html"", ""The Evil Image: Two Centuries of Gothic Short Fiction and Poetry"")",1983-09-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/an-international-treasury-of-mystery-and-suspense.html"", ""An International Treasury of Mystery and Suspense"")",1983-10-01,Anthology,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/cults-an-anthology-of-secret-societies-sects-and-the-supernatural.html"", ""Cults: An Anthology of Secret Societies, Sects and the Supernatural"")",1983-11-01,Anthology,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/pet-sematary.html"", ""Pet Sematary"")",1983-11-01,Novel,,Yes,Yes,,Yes,Yes,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/blackboard-jungle.html"", ""The Blackboard Jungle"")",1983-12-01,Anthology,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/magicats.html"", ""Magicats"")",1983-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/eyes-of-the-dragon.html"", ""The Eyes of the Dragon"")",1983-12-01,Limited Edition,,Yes,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/talisman.html"", ""The Talisman"")",1983-12-01,Limited Edition,,Yes,Yes,Yes,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/fear-itself.html"", ""Fear Itself"")",1984-06-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/essay/on-becoming-a-brand-name.html"", ""On Becoming a Brand Name"")",1984-06-01,Essay,"=HYPERLINK(""https://www.stephenking.com/works/anthology/fear-itself.html"", ""Fear Itself"")",,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novel/thinner.html"", ""Thinner"")",1984-11-01,Bachman Novel,,Yes,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/anthology/isaac-asimovs-magical-world-of-fantasy-4.html"", ""Isaac Asimov's Magical World of Fantasy #4"")",1984-12-01,Anthology,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/plant-installment-three.html"", ""The Plant [Installment Three]"")",1984-12-01,Limited Edition,,,Yes,,,,
"=HYPERLINK(""https://www.stephenking.com/works/limited/skeleton-crew.html"", ""Skeleton Crew"")",1984-12-01,Limited Edition,,Yes,Yes,,Yes,,
"=HYPERLINK(""https://www.stephenking.com/works/unpublished/cats-eye.html"", ""Cat's Eye"")",1984-12-01,Unpublished,,,,,,,
"=HYPERLINK(""https://www.stephenking.com/works/novella/mist.html"", ""The Mist"")",1985-06-01,Novella,"=HYPERLINK(""https://www.stephenking.com/works/collection/skeleton-crew.html"", ""Skeleton Crew"")",,Yes,,,,
